INGREDIENT COMMON NAME,INGREDIENT INCI NAME,Country of Origin,In Stock,Quantity in Stock (in grams),Supplier Name,CAS NO.,NICNAS Check Completed,Flash Point,Product Type,Skin Type,TYPE OF INGREDIENT,ESSENTIAL OIL NOTE,Solubility,Ingredient Benefits,SKIN PROBLEM,CONTRAINDICATIONS,Contraindications detailed,VISCOSITY,ABSORPTION RATE,COMEDOGENIC RATING,Composition,Recommended Concentration,Allergens,Relevant References,Other Important Information,2
Acai Oil Certified Organic,Euterpe oleracea (Acai) oil (certified organic),South America,Yes,,AWO,,No,,Anhydrous,"dry, dry/rough skin in feeling and/or appearance, dry, dry/rough skin in feeling and/or appearance/rough skin in feeling and/or appearance Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin,Oily & Acne Prone Skin,Normal Skin,Combination","Carrier Oil,anhydrous base",,Oil Soluble,"Moisturising,Emollient,Anti-inflammatory,Soothing,Antioxidant,Antibacterial,Protecting,Anti-aging,Eczema,Elasticity","dry, dry/rough skin in feeling and/or appearance, rough on some portions of the skin,inflamed and/or irritated,Cracking,fine lines and wrinkles,Damage from sun/environment and lifestyle,Eczema",,None known,Light,Fast,2,,,,,,
Allantoin,Allantoin,,Yes,,,97-59-6,,,,,,,Water Soluble,"Skin conditioning, skin protecting, soothing,wound healing,skin ulcers,burns,sunburns,acne and skin eruptions,eczema and psoriasis,promotes new cell growth,repairs tissue damage","Scarring,inflammation",,,,,,,.2-2%,,,"To incorporate 0.2% Allantoin, or more, into an emulsion, the emulsion is made and Allantoin is added during the cooling process below 45 oC. Good agitation is required to thoroughly disperse the Allantoin to achieve a suitable suspension. Addition of Allantoin at 0.2% or more at temperatures above 50 oC in aqueous systems can cause re-crystallization, upon cooling, into larger particles which are perceptible during product use. Allantoin can be pre-mixed with a little water to aid incorporation.",
Aloe Vera Juice,Aloe Barbadensis (Aloe Vera) juice,,Yes,,ND,,Yes,,,Mature & Aging Skin,"Extract,aqueous high performance",,Water Soluble,"Anti-inflammatory,Soothing,Calming","inflamed and/or irritated,fine lines and wrinkles,pre-disposed to acne, peeling and dehydrated (due to use of products to control oil)",,NEED TO FIND,,,,,,,"Aloe Vera powder and purified Aqua - and preservative Gluconolatone & sodium benzoate
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2763764/
https://online.personalcarecouncil.org/ctfa-static/online/lists/cir-pdfs/pr274.pdf",,
Alpinia Leaf,,,No,,,,,,,Mature & Aging Skin,"Extract,aqueous high performance",,,Promotes collagen production,fine lines and wrinkles,,,,,,,,,,,
Alpinia Root,,,No,,,,,,,Mature & Aging Skin,,,,"Age spot appearance reduction,Skin lightening",Age spots,,,,,,,,,,,
Apricot Kernel Oil,Prunus armeniaca (Apricot) kernel oil (certified organic),Germany/Kenya,Yes,,AWO,72869-69-3,Yes,,"Anhydrous,Emulsion","dry, dry/rough skin in feeling and/or appearance, dry, dry/rough skin in feeling and/or appearance/rough skin in feeling and/or appearance Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin,Oily & Acne Prone Skin,Normal Skin,Combination","Carrier Oil,anhydrous base",,Oil Soluble,"Moisturising,Emollient,Anti-inflammatory,Soothing,Antioxidant,Promotes collagen production,Skin lightening,Balance sebum production,Antibacterial,Antiseptic,Protecting,Anti-aging,Tissue & Cell Regeneration,Eczema,Softening","dry, dry/rough skin in feeling and/or appearance, rough on some portions of the skin,inflamed and/or irritated,TEWL,fine lines and wrinkles,loss of firmness and tone,Age spots,Oily (overproduction of sebum),Clogged pores/cell accumulation,Enlarged pores,pre-disposed to acne, peeling and dehydrated (due to use of products to control oil),Scarring,skin cell regeneration slowing,dry, dry/rough skin in feeling and/or appearance, dry, dry/rough skin in feeling and/or appearance/rough skin in feeling and/or appearance and/or flaky on some portions of skin,itchy,chapped,sensitive",,"Can be used for people with hypertension.

As with all other oils, a patch test should be conducted on the inner arm or other generally insensitive area of skin, using a dime size amount of Apricot Kernel Carrier Oil to check for sensitivities. An absence of an allergic response within 48 hours indicates that the oil is safe to use.

The topical application of Apricot Kernel Carrier Oil is not known to have side effects. In the rare chance of an allergic reaction, discontinue use of the product and see a doctor, pharmacist, or allergist immediately for a health assessment and appropriate remedial action. To prevent side effects, consult with a medical professional prior to use.",Light,Fast,2,,,,"Review Article
Polyphenols as active ingredients for cosmetic products
O. V. Zillich*,†, U. Schweiggert-Weisz*, P. Eisner* and M. Kerscher†
Nevertherless, the beneficial effects in vitro as well as presented in vivo evidence demonstrate an enormous potential of polyphenolic extracts as active ingredients in topical applied products for the prevention and therapy of UV damages, skin ageing as well as cancer diseases.

Promotes acne control - Kanlayavattanakul, M., and N. Lourith. 2011. “Therapeutic Agents and Herbs in Topical Application for Acne Treatment.” International Journal of Cosmetic Science33 (4): 289–297.do:10.1111/j.1468-2494.2011.00647.x.
Inflammation regulation supports - Young GL, Jewell D. 2000. Creams for preventing stretch marks in pregnancy. Cochrane Database Syst Rev. (2) :CD00066 .
Antioxidant rich - Dweck, A.C. Skin treatment with plants of the Americas. Toil.112, 47–64 (1997).","Thinner consistency
Cleansing properties

Add: oleic acid, phytosterols, eczema, softening, elasticity",
Argan Oil,Argania spinosa (Argan) oil (certified organic),Morocco,Yes,,AWO,,,,"Anhydrous,Emulsion","Sensitive & Eczema Prone Skin,Mature & Aging Skin,Oily & Acne Prone Skin,Combination","Carrier Oil,anhydrous base",,Oil Soluble,"Moisturising,Emollient,Hydrating,Anti-inflammatory,Soothing,Antioxidant,Balance sebum production,Calming,Smoothing,Tissue & Cell Regeneration,Softening,Elasticity","fine lines and wrinkles,Oily (overproduction of sebum),pre-disposed to acne, peeling and dehydrated (due to use of products to control oil),excessive oil in some areas (possibly int he T-zone)",Nut allergies,"Nut Oil - The oil is derived from the fruit’s nut, which contains the proteins that trigger allergic responses. Accordingly, those with nut allergies should be cautious about using Argan Oil, as there have been some cases, though rare, that have reported adverse reactions. Despite the fact that Argan Oil is largely used in cosmetics for the purpose of treating acne and wrinkles, it may potentially cause an allergic reaction that could involve acne as well as anaphylaxis, difficulty breathing, rashes, and itchy, red, scaly skin. These reactions could possibly be caused by impure or low quality Argan Carrier Oil. It is recommended that a skin patch test be conducted on a small area on the inner arm to test for any potential reactions.",Light,Medium,0,,,,,Has cleansing properties,
Avocado,Persea gratissima (Avocado) oil (certified organic),Kenya/Spain,Yes,,ND,8024-32-6,Yes,,Anhydrous,"dry, dry/rough skin in feeling and/or appearance, dry, dry/rough skin in feeling and/or appearance/rough skin in feeling and/or appearance Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin","Carrier Oil,anhydrous base",,Oil Soluble,,"dry, dry/rough skin in feeling and/or appearance, rough on some portions of the skin,fine lines and wrinkles,Eczema",Blood thinners,"Potentially severe side effects of using Avocado Carrier Oil may include hives, abdominal pain, and vomiting. In the event of an allergic reaction, discontinue use of the product and see a doctor, pharmacist, or allergist immediately for a health assessment and appropriate remedial action.

Individuals taking blood thinners to slow blood clotting may experience a drug interaction. To prevent these side effects, consult with a medical professional prior to use.",Heavy,Medium,3,,,,,"Add: Oleic, vitamin D

Thick, fatty and heavy oil.  Easily absorbed, fast-medium absorption, softening, removes dark shadows, grey, tired and slack skin, vitamin D?",
Beeswax,,,Yes,,,8012-89-3,Yes,,,"dry, dry/rough skin in feeling and/or appearance, dry, dry/rough skin in feeling and/or appearance/rough skin in feeling and/or appearance Skin,Sensitive & Eczema Prone Skin",Wax,,Oil Soluble,"Moisturising,Emollient,Occlusive,Hydrating,Soothing,Calming,Smoothing","dry, dry/rough skin in feeling and/or appearance, rough on some portions of the skin,Fine dehydration lines,rough on some portions of the skin on some portions of the skin",,NOT DONE YET,,,,,,,"Supports inflammation regulation - Fratini, F., Cilia, G., Turchi, B., & Felicioli, A. (2016). Beeswax: a minireview of its antimicrobial activity and its application in medicine. Asian Pacific Journal of Tropical Medicine, 9(9), 839-843. 
Antioxidant - 
Anti-bacterial support - 

- Wagh, V. D. (2013). Propolis: a wonder bees product and its pharmacological potentials. Advances in pharmacological sciences, 2013.",,
Benzoin,Styrax benzoin (Benzoin) resinoid,,Yes,,,84929-79-3,Yes,,,"dry, dry/rough skin in feeling and/or appearance, dry, dry/rough skin in feeling and/or appearance/rough skin in feeling and/or appearance Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin","Essential Oil,Botanical",Base,Oil Soluble,"Anti-inflammatory,Increase blood circulation,Astringent (contracts & tones skin tissues),Antiseptic","inflamed and/or irritated,Itching and/or redness,Dull complexion,Enlarged pores,pre-disposed to acne, peeling and dehydrated (due to use of products to control oil)",Sensitising,"May cause skin sensitivity for some people
Do not use with young children",,,,,,,,,
Benzoin,Styrax benzoin (Benzoin) Resin,,Yes,,N-E,84929-79-3,,,,,Essential Oil,Base,,,,,,,,,,,,,,
Bergamot Essential Oil,Citrus Bergamo,Brazil or Italy,Yes,,,8007-75-8,,55,,,Essential Oil,Top,Oil Soluble,"Balance sebum production,Regulating,Antibacterial,Antiseptic","Oily (overproduction of sebum),pre-disposed to acne, peeling and dehydrated (due to use of products to control oil)","Phototoxic,Pregnant,breastfeeding or nursing","SEE NEW DIRECTIONS SHEET AND ADD

Avoid during pregnancy

Phototoxic – due to the presence of Bergaptene exposure to direct & prolonged sunlight needs to be avoided. Bergamot FCF is not phototoxic because bergaptene has been removed",,,,,,,https://shop.newdirections.com.au/epages/newdirections.mobile/en_AU/?ObjectPath=/Shops/newdirections/Products/OE6BERGBERGF,"To add 
balancing, cicatrisant
cleansing
promotes healthy skin growth",
Bergamot Essential Oil (Non-Phototoxic) Certified Organic,"Citrus bergamia Risso et Poit (Bergamot) essential oil (non-phototoxic, certified organic)",Italy,Yes,,ND,8007-75-8,No,55,Anhydrous,,Essential Oil,Top,Oil Soluble,"Balance sebum production,Regulating,Antibacterial,Antiseptic,Eczema","Oily (overproduction of sebum),pre-disposed to acne, peeling and dehydrated (due to use of products to control oil)","Pregnant,breastfeeding or nursing","Avoid during pregnancy. 

Flammable liquid.  

Adults only, not to be used on children under two years of age without medical advice.",,,,,,,,"Non-Phototoxic: Normally, Bergamot Essential Oil contains naturally occurring bergaptens or furo/furano-coumarins, which are known to cause skin phototoxicity. This means that skin can discolour when exposed to direct sunlight, and in some cases cause burning. It is for this reason that a bergapten-free or non-phototoxic version of Bergamot EO has been created.",
Bioethanol,Ethanol,,Yes,9780,EFF,64-17-5,Yes,,,,,,,,,,,,,,,,,,,
Blue Elderberry Extract,,,No,,,,,,,Mature & Aging Skin,"Extract,aqueous high performance",,,"Age spot appearance reduction,Skin lightening",Age spots,,,,,,,,,,,
Borage Oil,,,No,,,,,,,"dry, dry/rough skin in feeling and/or appearance, dry, dry/rough skin in feeling and/or appearance/rough skin in feeling and/or appearance Skin,Mature & Aging Skin","Carrier Oil, anhydrous base",,,"Moisturising,Emollient",inflamed and/or irritated,,,,Slow,,,,,,,
Calendula Extract,Calendula officinalis (Calendula) flower extract,,Yes,,,,,,,Sensitive & Eczema Prone Skin,"Extract,aqueous high performance",,Water Soluble,"Anti-inflammatory,Soothing,Antioxidant,Promotes collagen production,Antibacterial,Antiseptic,Calming",inflamed and/or irritated,"Pregnant,breastfeeding or nursing","Do not apply directly to the skin unless patch tested first.

Avoid in pregnant or breastfeeding or nursing women. There is a lack of scientific evidence on the use of calendula during pregnancy or breastfeeding or nursing.",,,,,1-10% in water phase,,"https://www.sigmaaldrich.com/life-science/nutrition-research/learning-center/plant-profiler/calendula-officinalis.html

https://online.personalcarecouncil.org/ctfa-static/online/lists/cir-pdfs/pr324.pdf

https://bmcchem.biomedcentral.com/articles/10.1186/1752-153X-7-8",,
Calendula Infused Oil,,,Yes,,,,,,,Sensitive & Eczema Prone Skin,"Oil Infusion,anhydrous high performance",,,"Anti-inflammatory,Soothing,Calming",inflamed and/or irritated,,,Heavy,,1,,,,,,
Camellia,Camellia Oleifera (Camellia) refined seed oil (certified organic),,Yes,100,ND,68916-73-4,,,Plant oil,"dry, dry/rough skin in feeling and/or appearance, dry, dry/rough skin in feeling and/or appearance/rough skin in feeling and/or appearance Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin","Carrier Oil,anhydrous base",,Oil Soluble,"Moisturising,Emollient,Hydrating,Soothing,Calming,Smoothing","dry, dry/rough skin in feeling and/or appearance, rough on some portions of the skin,Fine dehydration lines,rough on some portions of the skin on some portions of the skin",,,Light,Fast,1,,,,,,
Candelilla Wax,Euphorbia cerifera cera (Candelilla) wax,,Yes,100,ND,,,,Wax,,Wax,,Oil Soluble,,,,,,,,,,,,"Excellent oil binding, produces remarkable hardness, high gloss characteristics, faint smell",
Cape Rose Geranium,Pelargonium capitatum x radens (Cape Rose Geranium) essential oil,,Yes,17,ND,,,97,Essential Oil,,,Top,Oil Soluble,,,"Pregnant,breastfeeding or nursing",,,,,,,,,,
Carrot Seed Essential Oil,Daucus carota (Carrot Seed) oil,,Yes,,,8015-88-1,,47.2,,,Essential Oil,Middle,Oil Soluble,,"inflamed and/or irritated,loss of firmness and tone,enlarged pores","Pregnant,breastfeeding or nursing",,Heavy,,3,,,,https://shop.newdirections.com.au/epages/newdirections.mobile/en_AU/?ObjectPath=/Shops/newdirections/Products/OE6CARRSEED,Cape Rose geranium has traditionally been known to help balance hormones as well as help alleviate PMS related symptoms. It is also one of the most fragrant essential oils available and is used extensively in the perfumery and cosmetics industry.,
Carrot Tissue Infused Oil,,,No,,,,,,,Sensitive & Eczema Prone Skin,"Carrier Oil,Oil Infusion",,,"Anti-inflammatory,Soothing,Calming",inflamed and/or irritated,,,,,,,,,,,
Castor BP,,,No,,,,,,,"dry, dry/rough skin in feeling and/or appearance, dry, dry/rough skin in feeling and/or appearance/rough skin in feeling and/or appearance Skin","Carrier Oil,anhydrous base",,,Emollient,,,,Heavy,Slow,1,,,,,,
Chamomile Roman Essential Oil,Anthemis nobilis (Roman Chamomile) essential oil,,Yes,6,ND,8015-92-7,,52.7,Essential Oil,Sensitive & Eczema Prone Skin,Essential Oil,Top,,"Anti-inflammatory,Soothing,Calming","inflamed and/or irritated,pre-disposed to acne, peeling and dehydrated (due to use of products to control oil),dry, dry/rough skin in feeling and/or appearance, dry, dry/rough skin in feeling and/or appearance,skin sensitivities",Atopic,,,,,,,,,,
Chia Seed Oil,,,No,,,,,,,Sensitive & Eczema Prone Skin,"Carrier Oil,anhydrous base",,,"Anti-inflammatory,Soothing,Calming",inflamed and/or irritated,,,Light,Medium,3,,,,,,
Clary Sage,,Ukraine/Moldova,Yes,,AWO,8016-63-5,,75,,,Essential Oil,Middle,,,"inflamed and/or irritated,loss of firmness and tone","Pregnant,breastfeeding or nursing,","A potential side effect of Clary Sage Essential Oil is headaches. If used in conjunction with alcohol or narcotics, it is known to sometimes increase the intoxicating effects, and it may possibly cause insomnia or vivid dreams. Alternatively, its sedative properties may interact with and enhance the effects of sleep-related medication such as Chloral Hydrate and Hexobarbitone. Those with health conditions such as diabetes, cancer, hypotension, heart disease or other heart-related ailments, peptic ulcers, liver damage, bleeding disorders such as hemophilia, skin disorders, or estrogen-related ailments are especially recommended to be advised. Clary Sage Oil may potentially react with certain medications, such as diabetes medication or anticoagulant medication, and may cause dyspnea.",,,,,,,,,
Co Enzyme Q10,Ubiquinone,,Yes,,AWO,,No,,,,"Aqueous high performance,anhydrous high performance",,,"Antioxidant,Protecting",,,Not known,,,,,0.01-0.2%,,,,
Cocoa Butter,,,Yes,,,8002-31-1,,,,"dry, dry/rough skin in feeling and/or appearance, dry, dry/rough skin in feeling and/or appearance/rough skin in feeling and/or appearance Skin,Sensitive & Eczema Prone Skin",Butter,,,"Moisturising,Emollient,Hydrating,Smoothing","Flaking,Scaling,Peeling",,,,,,,,,,,
Coconut oil,Cocos nucifera,,Yes,,,8001-31-8,Yes,,,"dry, dry/rough skin in feeling and/or appearance, dry, dry/rough skin in feeling and/or appearance/rough skin in feeling and/or appearance Skin,Sensitive & Eczema Prone Skin","Carrier Oil,anhydrous base",,Oil Soluble,"Moisturising,Emollient,Hydrating,Anti-inflammatory,Soothing,Antioxidant,Antibacterial,Calming","dry, dry/rough skin in feeling and/or appearance, rough on some portions of the skin,dry, dry and/or flaky on some portions of skin",Nut allergies,"Individuals who use Coconut Oil to soothe acne on skin that is not very oily to begin with will likely enjoy the anti-bacterial properties of the Lauric Acid content; however, individuals with excessively oily skin are likely to experience what might appear to be aggravated skin. This reaction will likely occur due to the detoxifying properties of Virgin Coconut Oil that are powerful enough to purge layers of toxins from deep beneath the skin’s surface. This reaction will make skin appear as though the condition has worsened, but the irritation and inflammation will be temporary and will eventually decline in a matter of a few weeks – depending on the amount of toxin build-up – as the skin heals, improves, and clears up. To prevent the skin from flaring up in this manner, another possible option for acne-prone skin is to use Coconut Oil as a carrier for skin-soothing essential oils that are reputed to relieve acne.

Although it is a rare occurrence, Coconut Oil may potentially cause an allergic reaction that could involve anaphylaxis, eczema, facial swelling, hives, lightheadedness, nausea, rapid heart rate, rashes, or vomiting. Children with peanut or tree nut allergies are less likely to experience an allergic reaction to Coconut Oil, as coconuts are considered to be fruits rather than nuts; however, it is highly recommended that a doctor be consulted before these individuals use Coconut Oil. Children with hypothyroidism should refrain from using Coconut Oil or any related products without first consulting a medical practitioner, as it might aggravate the condition.",Heavy,Slow,4,,,,,"Small molecular size which allows essential oil to be readily absorbed into skin when combined with Coil.
Coconut oil could potentially clog pores. Using a small amount and slowly testing your tolerance to it is recommended for those with oily or sensitive skin.",
Cucumber Extract,Cucumis sativus (Cucumber) fruit extract,,Yes,,,32177141,,,,"dry, dry/rough skin in feeling and/or appearance, dry, dry/rough skin in feeling and/or appearance/rough skin in feeling and/or appearance Skin","Extract,aqueous high performance",,Water Soluble,"Moisturising,Emollient,Anti-inflammatory,Soothing",Itching and/or redness,,NOT DONE YET,,,,,1-5%,,Composition : http://www.cir-safety.org/sites/default/files/cucum032012tent.pdf,,
Cypress Essential Oil,Cupressus sempervirens (Cypress) essential oil,Spain,Yes,,,8013-86-3,,42.2,,,Essential Oil,Middle,Oil Soluble,Astringent (contracts & tones skin tissues),Enlarged pores,"Pregnant,breastfeeding or nursing",NOT DONE YET,,,,,,,,,
Dragon Fruit,,,No,,,,,,,,Aqueous high performance,,,,,,,,,,,,,,,
Eucalyptus EO,Eucalyptus Radiata (Australiana) Oil,,Yes,100,AWO,92201-64-4,No,49,Anhydrous,,Essential Oil,,Oil Soluble,"Anti-inflammatory,Antibacterial",,"Pregnant,breastfeeding or nursing","As per NAHA guidelines, New Directions Aromatics (NDA) does not recommend the ingestion of essential oils. Pregnant and nursing women are particularly cautioned to avoid using the essential oil without medical guidance.

When applied topically, Eucalyptus Oil should ideally be used in dilution, as using the oil directly or in high concentrations can potentially cause skin irritation. A skin test is recommended prior to use. Eucalyptus Oil must never be used near the eyes, inner ears, or on any other particularly sensitive areas of skin.

The oil is generally safe for use on adult skin, but Eucalyptus Essential Oil should never be applied to the face of a child under 2 years old. Individuals who suffer from allergic sensitivities could potentially experience airborne contact dermatitis with the use of Eucalyptus Oil, which could be uncomfortable, if not dangerous.",,,,,,,,"1,8-Cineole (Eucalyptol) (70-75%)
Alpha Terpineol (5-10%)
Limonene (4-8%)
Alpha Pinene (2-6%)",
Evening Primrose Oil,Oenothera biennis (Evening Primrose) Oil (certified organic),,Yes,100,AWO,,,,,"dry, dry/rough skin in feeling and/or appearance, dry, dry/rough skin in feeling and/or appearance/rough skin in feeling and/or appearance Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin,Oily & Acne Prone Skin,Normal Skin,Combination","Carrier Oil,anhydrous base",,Oil Soluble,,"dry, dry/rough skin in feeling and/or appearance,inflamed and/or irritated,Itching and/or redness,loss of firmness and tone,Oily (overproduction of sebum),pre-disposed to acne, peeling and dehydrated (due to use of products to control oil),Scarring,Damage from sun/environment and lifestyle,dry, dry/rough skin in feeling and/or appearance, dry and/or flaky on some portions of skin,excessive oil in some areas (possibly in the T-zone)","Pregnant,breastfeeding or nursing","Pregnant and nursing women are especially advised not to use Evening Primrose Oil without the medical advice of a physician, as it may have an effect on certain hormone secretions and it is unclear whether these effects are transferable to babies at these stages of development. The oil should always be stored in an area that is inaccessible to children, especially those under the age of 7.

Those with the following health conditions are recommended to be advised by a physician: cancer, heart-related ailments, skin disorders, or hormone-related ailments. Individuals that are taking prescription drugs, undergoing major surgery, or who are at a greater risk of experiencing strokes, heart attacks, or atherosclerosis are also advised to seek medical consultation prior to use.

Prior to using Evening Primrose Oil, a skin test is recommended. This can be done by applying a dime-size amount of the oil to a small area of skin that is not sensitive. Evening Primrose Oil must never be used near the eyes, inner nose, and ears, or on any other particularly sensitive areas of skin. Potential side effects of Evening Primrose Oil include itchiness, nausea, headache, abdominal pain, diarrhea, seizures, vomiting, the rapid growth of nails, or bleeding. Those taking anti-coagulant medications may experience excessive bleeding.

Those seeking medical care to manage moods, behaviors, or disorders should treat this Carrier Oil as a complementary remedy rather than a replacement for any medicinal treatments or prescriptions. In the event of an allergic reaction, discontinue use of the product and see a doctor, pharmacist, or allergist immediately for a health assessment and appropriate remedial action. To prevent side effects, consult with a medical professional prior to use.",Light,Fast,2,,,,"Elasticity & firmness support - 
Supports moisture retention - 
Supports inflammation regulation - 

- Muggli, R. 2005. “Systemic Evening Primrose Oil Improves the Biophysical Skin Parameters of Healthy Adults.” International Journal of Cosmetic Science 27 (4): 243–249. doi:10.1111/j.1467-2494.2005.00274.x.",,
Frankincense Olibanum Essential Oil,Boswellia carterii (Frankincense) essential oil,Somalia,Yes,,,8016-36-2,,51,"Anhydrous,Emulsion",,Essential Oil,Base,Oil Soluble,,"dry, dry/rough skin in feeling and/or appearance, rough on some portions of the skin,fine lines and wrinkles,loss of firmness and tone,Enlarged pores,pre-disposed to acne, peeling and dehydrated (due to use of products to control oil),Scarring,skin cell regeneration slowing","Pregnant,breastfeeding or nursing",Those with bleeding disorders or those on anti-coagulant medications are warned that Frankincense has blood thinning effects that may increase their risk of irregular bleeding.,,,,,,,"https://shop.newdirections.com.au/epages/newdirections.mobile/en_AU/?ObjectPath=/Shops/newdirections/Products/OE6FRAN

https://cosmetics.specialchem.com/product/i-new-directions-aromatics-frankincense-carterii-essential-oil

Skin density support - 
Fine line appearance -
Collagen promoting - 

- Calzavara-Pinton, P., Zane, C., Facchinetti, E., Capezzera, R., & Pedretti, A. (2010). Topical Boswellic acids for treatment of photoaged skin. Dermatologic Therapy, 23, S28–S32. https://doi.org/10.1111/J.1529-8019.2009.01284.X","Too add:
cleansing, cleans the pores, promotes healthy skin growth",
Geoguard Ultra,Gluconolactone & sodium benzoate,,Yes,,ASS,90-80-2 & 532-32-1,,,Aqueous,"dry, dry/rough skin in feeling and/or appearance, dry, dry/rough skin in feeling and/or appearance/rough skin in feeling and/or appearance Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin,Oily & Acne Prone Skin,Normal Skin,Combination",Preservative,,Water Soluble,,,,None known,,,,,,,,,
