INGREDIENT COMMON NAME,INGREDIENT INCI NAME,Country of Origin,In Stock,Quantity in Stock (in grams),Supplier Name,CAS NO.,NICNAS Check Completed,Flash Point,Product Type,Skin Type,TYPE OF INGREDIENT,ESSENTIAL OIL NOTE,Solubility,Ingredient Benefits,SKIN PROBLEM,CONTRAINDICATIONS,Contraindications detailed,VISCOSITY,ABSORPTION RATE,COMEDOGENIC RATING,Composition,Recommended Concentration,Allergens,Relevant References,Other Important Information,2
Geranium Essential Oil,Pelargonium graveolens (Geranium) essential oil,,Yes,,,8000-46-2,,65,,,Essential Oil,Middle,Oil Soluble,,"inflamed and/or irritated,Itching and/or redness,loss of firmness and tone,Oily (overproduction of sebum),Enlarged pores,pre-disposed to acne, peeling and dehydrated (due to use of products to control oil),skin cell regeneration slowing,excessive oil in some areas (possibly int he T-zone)","Pregnant,breastfeeding or nursing","May irritate very sensitive areas of skin.  Do not use during 1st trimester of pregnancy.  Use in low dilution during 2nd and 3rd trimesters.  Due to Geranium Oil’s styptic property, those with the following health conditions are recommended to be advised: diabetes, cancer, hypertension and other heart-related ailments, peptic ulcers, liver damage, bleeding disorders, skin disorders, or hormone-related ailments. Individuals that are taking prescription drugs, undergoing major surgery, or who are at a greater risk of experiencing strokes, heart attacks, or atherosclerosis are also advised to seek medical consultation prior to use.",,,,,,,https://shop.newdirections.com.au/epages/newdirections.mobile/en_AU/?ObjectPath=/Shops/newdirections/Products/OE6GERAEGYPT,"To add:
anti-fungal, balancing, cicatrisant, stimulant
balances sebum production
cleansing, cleans the pores, promotes healthy skin growth, broken capillaries

As per NAHA guidelines, New Directions Aromatics (NDA) does not recommend the ingestion of essential oils. It is imperative to consult a medical practitioner before using this oil for therapeutic purposes. Pregnant and nursing women are especially advised not to use Geranium Essential Oil without the medical advice of a physician, as it may have an effect on certain hormone secretions and it is unclear whether these effects are transferable to babies at these stages of development. The oil should always be stored in an area that is inaccessible to children, especially those under the age of 7.

Due to Geranium Oil’s styptic property, those with the following health conditions are recommended to be advised: diabetes, cancer, high blood pressure and other heart-related ailments, peptic ulcers, liver damage, bleeding disorders, skin disorders, or hormone-related ailments. Individuals that are taking prescription drugs, undergoing major surgery, or who are at a greater risk of experiencing strokes, heart attacks, or atherosclerosis are also advised to seek medical consultation prior to use.",
Ginseng,,,No,,,,,,,Mature & Aging Skin,Aqueous high performance,,,Promote brightening,Dull complexion,,,,,,,,,,,
Glycerin - vegetable/palm free,Glycerin,,Yes,1000,ND,56-81-5,,,,,Humectant,,,"Moisturising,Humectant,Hydrating,Soothing,Calming",,,NOT DONE YET,,,,,,,,,
Grapeseed Oil,Vitis vinifera (Grapeseed) oil (certified organic),Spain,Yes,,AWO,8024-22-4,Yes,,"Anhydrous,Emulsion","dry, dry/rough skin in feeling and/or appearance, dry, dry/rough skin in feeling and/or appearance/rough skin in feeling and/or appearance Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin,Oily & Acne Prone Skin,Normal Skin,Combination","Carrier Oil,anhydrous base",,Oil Soluble,,"dry, dry/rough skin in feeling and/or appearance, ,inflamed and/or irritated,Flaking,Scaling,Peeling,Itching and/or redness,loss of firmness and tone,Oily (overproduction of sebum),pre-disposed to acne, peeling and dehydrated (due to use of products to control oil),Scarring,Damage from sun/environment and lifestyle,Tightness,dry, dry/rough skin in feeling and/or appearance, dry, dry/rough skin in feeling and/or appearance/rough skin in feeling and/or appearance and/or flaky on some portions of skin,excessive oil in some areas (possibly int he T-zone)","Cholesterol,blood pressure,","Can be used by people with hypertension and could result in reducing blood pressure.

Individuals taking blood thinners or medication to lower cholesterol or blood pressure may experience a drug interaction that could possibly involve experiencing nausea and diarrhea due to its laxative properties.",Light,Fast,1,,"15% for lotions, creams, aged-skin care gel",,"Review Article
Polyphenols as active ingredients for cosmetic products
O. V. Zillich*,†, U. Schweiggert-Weisz*, P. Eisner* and M. Kerscher†
Nevertherless, the beneficial effects in vitro as well as presented in vivo evidence demonstrate an enormous potential of polyphenolic extracts as active ingredients in topical applied products for the prevention and therapy of UV damages, skin ageing as well as cancer diseases.https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4988453/

https://www.centerchem.com/Products/DownloadFile.aspx?FileID=6846

Acne Control - John Shi, Jianmel Yu, Joseph E. Pohorly, and Yukio Kakuda, 2003. Polyphenolics in Grape Seeds—Biochemistry and Functionality Journal of Medicinal Food 6:4, 291-299.
Support during sun exposure - Korać, Radavar, and Kapilm Khambholja. 2011. “Potential of Herbs in Skin Protection from Ultraviolet Radiation.” Pharmacognosy Reviews 5 (10): 164. doi:10.4103/0973-7847.91114.
Wrinkle appearance - Maffei FR, Carini M, Aldini G, Bombardelli E, Morazzoni P, Morelli R. 1994. Free radicals scavenging action and anti-enzyme activities of procyanidines from Vitis vinifera – a mechanism for their capillary protective action. Arzneimittel forsch 44: 592–601.","NEW DIRECTIONS AROMATICS:
LINOLEIC ACIDS (OMEGA 6) are known to:

Moisturize hair and promote its growth
Facilitate wound healing
Be an effective emulsifier in the formulation of soaps and quick-dry, dry/rough skin in feeling and/or appearance, dry, dry/rough skin in feeling and/or appearance/rough skin in feeling and/or appearanceing oils
Exhibit anti-inflammatory properties
Soothe acne and reduce chances of future outbreaks
Promote moisture retention in skin and hair
Make oils feel thinner in consistency when used in an oil blend, thus being beneficial for use on acne-prone skin
 
OLEIC ACIDS (OMEGA 9) are known to:

Maintain the softness, suppleness, and radiance of skin and hair
Stimulate the growth of thicker, longer, and stronger hair
Reduce the appearance of aging, such as premature wrinkles and fine lines
Eliminate dandruff and thereby support hair growth
Boost immunity
Exhibit anti-oxidant properties
Prevent joint inflammation, stiffness, and pain
 
PALMITIC ACID is known to:

Have emollient properties
Soften hair without leaving a greasy or sticky residue
Be the most common saturated fatty acid
 
STEARIC ACID is known to:

Have cleansing properties that purge dirt, sweat, and excess sebum from hair and skin
Be an ideal emulsifying agent that binds water and oil
Help products remain potent when stored for long periods of time
Condition and protect hair from damage without diminishing luster or making it feel heavy
Have exceptional cleansing properties
Soften skin
 
PALMITOLEIC ACID is known to:

Delay the appearance of premature aging
Moisturize and tighten the skin
Promote the growth of shiny hair
Enhance the brightness of the complexion
Boost the growth of healthy-looking nails
Enhance skin elasticity to prevent symptoms of premature aging, such as wrinkles
 
VITAMIN E is known to:

Have antioxidant properties that slow the look of aging and boost circulation
Repair scarred and blemished skin
Prevent moisture loss from skin and hair
Offer soothing relief to skin that has been burned
Deeply cleanse pores and balance oil production
 
BETA-CAROTENE is known to:

Exhibit antioxidant properties
Contribute a red-orange pigment to the oil’s color
Soothe acne and burns
Reduce the appearance of age spots
Tighten skin
Slow the look of aging",
Green Tea Extract,Camellia sinensis (Green Tea) liquid extract,,Yes,100,ND,,,,"Anhydrous,Emulsion",,Aqueous high performance,,Water Soluble,"Anti-inflammatory,Soothing,Calming,antioxidant","inflamed and/or irritated,pre-disposed to acne, peeling and dehydrated (due to use of products to control oil),loss of firmness and tone,damage from sun/environment and lifestyle",,NOT DONE YET,,,,,5-40%,,,,
Hazelnut Oil,,,No,,,,,,"Anhydrous,Emulsion",,"Carrier Oil,anhydrous base",,Oil Soluble,,loss of firmness and tone,Nut allergies,"Nut Oil
Should be avoided by those with nut allergies",Light,Fast,1,,,,,,
Hemp Seed Oil Certified Organic,Cannabis sativa (Hemp) seed oil (certified organic),Canada,Yes,,AWO,89958-21-4,,,"Anhydrous,Emulsion","Sensitive & Eczema Prone Skin,Oily & Acne Prone Skin,Combination","Carrier Oil,anhydrous base",,Oil Soluble,"Moisturising,Emollient,Hydrating,Soothing,Balance sebum production,Calming","dry, dry/rough skin in feeling and/or appearance, rough on some portions of the skin,Fine dehydration lines,Oily (overproduction of sebum),pre-disposed to acne, peeling and dehydrated (due to use of products to control oil),dry, dry/rough skin in feeling and/or appearance, dry, dry/rough skin in feeling and/or appearance/rough skin in feeling and/or appearance and/or flaky on some portions of skin,Eczema","Pregnant,breastfeeding or nursing","Pregnant and nursing women are especially advised not to use Hemp Carrier Oil without the medical advice of a physician, as it may have an effect on certain hormone secretions and it is unclear whether these effects are transferable to babies at these stages of development.",Light,Fast,0,,Up to 10% or 100% directly,,,Driest natural oil available,
Hibiscus Extract,,,No,,,,,,,Mature & Aging Skin,"Extract,aqueous high performance",,,"Promotes collagen production,Promote brightening","fine lines and wrinkles,Dull complexion",,,,,,,,,,,
Horse Chestnut Extract,,,No,,,,,,,,"Extract,aqueous high performance",,,,,,,,,,,,,,,
Hyaluronic Acid,100% Hyaluronic Acid Powder,,Yes,,AWO,9004-61-9,Yes,,,,Humectant,,Water Soluble,,,,NOT DONE YET,,,,,Use only at low concentration 0.05-3%,,"<a href=""https://cosmetics.specialchem.com/product/i-dsm-hyaluronic-acid"">https://cosmetics.specialchem.com/product/i-dsm-hyaluronic-acid</a>","Helps to preserve the most important characteristics of youthful, healthy skin, such as suppleness, elasticity and tone and supports the natural protective mechanism of the skin. (SpecialChem)

As we age our production naturally decreases and we begin to notice alterations in our skin such as wrinkling or dry, dry/rough skin in feeling and/or appearance, dry, dry/rough skin in feeling and/or appearance/rough skin in feeling and/or appearance skin. A product containing Hyaluronic Acid would be beneficial for mature or dry, dry/rough skin in feeling and/or appearance, dry, dry/rough skin in feeling and/or appearance/rough skin in feeling and/or appearance skin to help restore smoothness and elasticity of the skin. (New Directions)",
Hydrogen Peroxide 3%,Hydrogen Peroxide,,Yes,300,NW,7722-84-1,,,,,,,,,,,,,,,,,,,,
Hydrolyzed Wheat Protein,,,No,,,,,,,"dry, dry/rough skin in feeling and/or appearance, dry, dry/rough skin in feeling and/or appearance/rough skin in feeling and/or appearance Skin",,,,,,,,,,,,,,,,
Jasmine,Jasminum officinale,,No,,,,,,Anhydrous,"dry, dry/rough skin in feeling and/or appearance, dry, dry/rough skin in feeling and/or appearance/rough skin in feeling and/or appearance Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin,Oily & Acne Prone Skin",Essential Oil,Base,Oil Soluble,"Anti-inflammatory,Antiseptic,Smoothing,Softening,Promotes healthy skin growth","inflamed and/or irritated,rough on some portions of the skin,Itching and/or redness,Oily (overproduction of sebum),pre-disposed to acne, peeling and dehydrated (due to use of products to control oil)","Pregnant,breastfeeding or nursing",Do not use in pregnancy until the birthing process has started,,,,,,,,"To add:
cicatrisant, promotes growth of healthy skin, soothes irritation, softening",
Jojoba Oil,Simmondsia chinensis seed oil,Panama,Yes,,,,,,,"dry, dry/rough skin in feeling and/or appearance, dry, dry/rough skin in feeling and/or appearance/rough skin in feeling and/or appearance Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin,Oily & Acne Prone Skin,Normal Skin,Combination","Carrier Oil,anhydrous base",,Oil Soluble,"Moisturising,Anti-inflammatory,Antioxidant,Promotes collagen production,Balance sebum production,Antibacterial,Elasticity","dry, dry/rough skin in feeling and/or appearance, rough on some portions of the skin,flaking, scaling, peeling,Itching and/or redness,fine lines and wrinkles,Oily (overproduction of sebum),pre-disposed to acne, peeling and dehydrated (due to use of products to control oil),Scarring,dry, dry/rough skin in feeling and/or appearance, dry, dry/rough skin in feeling and/or appearance/rough skin in feeling and/or appearance and/or flaky on some portions of skin,excessive oil in some areas (possibly int he T-zone),Eczema",,"Jojoba Oil is known to be safe for most people to use, when applied topically; however, in some instances, it can potentially cause side effects such as rashes. It is recommended that a small skin patch test is conducted on the inner arm to test for any allergic responses. In the event of an allergic reaction, discontinue use of the product. Side effects caused by the use of Jojoba Oil may alternatively be caused by other oils that might have been combined with it, such as in a massage blend.",Medium,Medium,2,,,,"<a href=""https://doi.org/10.25251/2.5.1"">Collagen promoting - Vaughn, A., Nguyen, M., Maarouf, M., Van Skiver, M., Tran, K., Rybak, I., Sivamani, R., & Shi, V. (2018). Multi-Center Randomized Clinical Study of The Effects of Natural Oils on Xerosis and Skin Barrier Properties. SKIN The Journal of Cutaneous Medicine, 2(5). doi:https://doi.org/10.25251/2.5.1
Supports inflammation regulation - Pazyar, N., Yaghoobi, R., Ghassemi, M., Kazerouni, A., Rafeie, E., & Jamshydian, N. (2013). Jojoba in dermatology: a succinct review. Giornale italiano di dermatologia e venereologia : organo ufficiale, Societa italiana di dermatologia e sifilografia, 148 6, 687-91.
Supports acne control - Meier, L.; Stange, R.; Michalsen, A.; Uehleke, B. Clay jojoba oil facial mask for lesioned skin and mild acne—Results of a prospective, observational pilot study. Forsch Komplementmed 2012, 19, 75–79.</a>","Ben - balancing, softening, improves elasticity, antifungal
Absorption : fast, lift and versatile (check downloaded table)
FA - Gadoleic, tannins
Other - assists with the breakdown of sebum that has clogged pores",
Jojoba Oil Golden,Simmondsia chinensis (Jojoba) oil (certified organic),Panama,Yes,500,AWO,,No,,"Anhydrous,Emulsion","dry, dry/rough skin in feeling and/or appearance, dry, dry/rough skin in feeling and/or appearance/rough skin in feeling and/or appearance Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin,Oily & Acne Prone Skin,Normal Skin,Combination","Carrier Oil,anhydrous base",,Oil Soluble,"Moisturising,Anti-inflammatory,Antioxidant,Promotes collagen production,Balance sebum production,Antibacterial,Elasticity","dry, dry/rough skin in feeling and/or appearance, rough on some portions of the skin,flaking, scaling, peeling,Itching and/or redness,fine lines and wrinkles,Oily (overproduction of sebum),pre-disposed to acne, peeling and dehydrated (due to use of products to control oil),Scarring,dry, dry/rough skin in feeling and/or appearance, dry, dry/rough skin in feeling and/or appearance/rough skin in feeling and/or appearance and/or flaky on some portions of skin,excessive oil in some areas (possibly int he T-zone),Eczema",,"Jojoba Oil is known to be safe for most people to use, when applied topically; however, in some instances, it can potentially cause side effects such as rashes. It is recommended that a small skin patch test is conducted on the inner arm to test for any allergic responses. In the event of an allergic reaction, discontinue use of the product. Side effects caused by the use of Jojoba Oil may alternatively be caused by other oils that might have been combined with it, such as in a massage blend.",Medium,Medium,2,,,,"<a href=""https://doi.org/10.25251/2.5.1"">Collagen promoting - Vaughn, A., Nguyen, M., Maarouf, M., Van Skiver, M., Tran, K., Rybak, I., Sivamani, R., & Shi, V. (2018). Multi-Center Randomized Clinical Study of The Effects of Natural Oils on Xerosis and Skin Barrier Properties. SKIN The Journal of Cutaneous Medicine, 2(5). doi:https://doi.org/10.25251/2.5.1
Supports inflammation regulation - Pazyar, N., Yaghoobi, R., Ghassemi, M., Kazerouni, A., Rafeie, E., & Jamshydian, N. (2013). Jojoba in dermatology: a succinct review. Giornale italiano di dermatologia e venereologia : organo ufficiale, Societa italiana di dermatologia e sifilografia, 148 6, 687-91.
Supports acne control - Meier, L.; Stange, R.; Michalsen, A.; Uehleke, B. Clay jojoba oil facial mask for lesioned skin and mild acne—Results of a prospective, observational pilot study. Forsch Komplementmed 2012, 19, 75–79.</a>","Ben - balancing, softening, improves elasticity, antifungal
Absorption : fast, lift and versatile (check downloaded table)
FA - Gadoleic, tannins
Other - assists with the breakdown of sebum that has clogged pores",
Kaolin Clay,,,No,,,,,,,,,,,,,,,,,,,,,,,
Kojic Acid,,,No,,,,,,,Mature & Aging Skin,,,,,,,,,,,,,,,,
Lactic Acid 90% (Purac PF 90),Lactic Acid,,Yes,,AWO,,No,,,,Aqueous high performance,,Water Soluble,,,,"None known

Safety: should not be applied directly onto the skin due to its strongly acidic nature it may cause burns",,,,,1-5%,,,Commonly used to adjust the pH levels of cosmetic formulations.,
Lavender Essential Oil,Lavendula angustifolia (Lavender) essential oil (certified organic),Bulgaria,Yes,,AWO,8000-28-0,,65,,,Essential Oil,Middle,Oil Soluble,"Anti-inflammatory,Cytophylactic,Antiseptic,Smoothing,Tissue & Cell Regeneration","inflamed and/or irritated,Itching and/or redness,pre-disposed to acne, peeling and dehydrated (due to use of products to control oil),Scarring,skin cell regeneration slowing","epilepsy/seizure disorder,Pregnant,breastfeeding or nursing,surgery",Can cause dermatitis if overused,,,,,,,https://shop.newdirections.com.au/epages/newdirections.mobile/en_AU/?ObjectPath=/Shops/newdirections/Products/OE6LAVEFREN,"Add:
promotes healthy skin growth,",
Lavender Floral Water,Lavandula angustifolia (Lavender) floral water,,Yes,,AWO,,No,,,,Aqueous base,Middle,Water Soluble,"Reduce pore size,Anti-inflammatory,Cytophylactic,Antiseptic,Smoothing,Tissue & Cell Regeneration","inflamed and/or irritated,Itching and/or redness,Enlarged pores,pre-disposed to acne, peeling and dehydrated (due to use of products to control oil),Scarring,skin cell regeneration slowing,excessive oil in some areas (possibly int he T-zone)","epilepsy/seizure disorder,Pregnant,breastfeeding or nursing,surgery",Safe to apply directly to the skin and face.,,,,,,,,"Lavender Essential Oil (Lavandula angustifolia), UV treated water",
Lemon Essential Oil,Citrus limonum (Lemon) oil (Cold Pressed) 100% pure essential oil,Italy,Yes,,AWO,8008-56-8,,48,"Anhydrous,Emulsion",,Essential Oil,Top,Oil Soluble,"Hydrating,Antioxidant,Balance sebum production,Astringent (contracts & tones skin tissues),Antibacterial,Antiseptic,Anti-aging","Fine dehydration lines,loss of firmness and tone,Oily (overproduction of sebum),Enlarged pores,pre-disposed to acne, peeling and dehydrated (due to use of products to control oil),Damage from sun/environment and lifestyle,dehydrated overall","Phototoxic,Pregnant,breastfeeding or nursing",PHOTOTOXIC PLUS NOT DONE YET,,,,,,,https://shop.newdirections.com.au/epages/newdirections.mobile/en_AU/?ObjectPath=/Shops/newdirections/Products/OE6LEMOAUST,"New Directions - In skin care, Lemon essential oil has been known to have astringent properties which can counter act overproduction of sebum.

Dr. Axe - reducing acne, nourishing damaged skin and hydrating the skin. Lab studies show that lemon oil is able to reduce cell and tissue damage in the skin that’s caused by free radicals. This is due to lemon oil’s strong antioxidant activity and anti-aging effects.",
Lemongrass,Cymbpogon citratus/flexuosus,,Yes,,AWO,8007-02-01,,71,"Anhydrous,Emulsion",Oily & Acne Prone Skin,Essential Oil,Top,Oil Soluble,,"loss of firmness and tone,Dull complexion,Clogged pores/cell accumulation,Enlarged pores","Irritant,Pregnant,skin sensitivities","May irritate sensitive skin.

Avoid during pregnancy.",,,,,,,,,
Linseed,,,No,,,,,,,Mature & Aging Skin,"Carrier Oil,anhydrous base",,,,inflamed and/or irritated,,,,,,,,,,,
Liquorice Extract,,,No,,,,,,,Mature & Aging Skin,"Extract,aqueous high performance",,,Promote brightening,Dull complexion,,,,,,,,,,,
Macadamia,Macadamia integrifolia (Macadamia nut) refined oil (certified organic),Kenya / Germany,Yes,,AWO,,No,,"Anhydrous,Emulsion","dry, dry/rough skin in feeling and/or appearance, dry, dry/rough skin in feeling and/or appearance/rough skin in feeling and/or appearance Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin","Carrier Oil,anhydrous base",,Oil Soluble,"Moisturising,Emollient,Hydrating,Soothing,Antioxidant,Antibacterial,Protecting,Smoothing,Tissue & Cell Regeneration","dry, dry/rough skin in feeling and/or appearance,flaking, scaling, peeling,Itching and/or redness,fine lines and wrinkles,Oily (overproduction of sebum),pre-disposed to acne, peeling and dehydrated (due to use of products to control oil),Scarring,dry, dry/rough skin in feeling and/or appearance and/or flaky on some portions of skin,excessive oil in some areas (possibly int he T-zone),Eczema, dry, dry/rough skin in feeling and/or appearance/rough skin in feeling and/or appearance",Nut allergies,Nut Oil - Avoid if suffer from nut allergy,Heavy,Slow,3,,,,https://cosmetics.specialchem.com/product/i-sio-super-refined-macadamia-nut-oil,"FA : Oleic
9% palmitic slows down the aging process
Anti aging and anti wrinkle 
Min - magnesium and thiamine
Thick and dry, dry/rough skin in feeling and/or appearance, dry, dry/rough skin in feeling and/or appearance/rough skin in feeling and/or appearance oil 
Medium and rate 
Ben - rejuvenating 
Easily absorbed 
Not to be used for acne or oily prone skin
It can be used to create a silky smooth lotion, hydrating face cream and rich conditioner. Super Refined Macadamia Nut Oil is used in anti-aging, skin care (SpecialChem)",
Mallotus Bark,,,No,,,,,,,Mature & Aging Skin,"Extract,aqueous high performance",,,Promotes collagen production,fine lines and wrinkles,,,,,,,,,,,
Mango Butter,,,No,,,,,,,"dry, dry/rough skin in feeling and/or appearance, dry, dry/rough skin in feeling and/or appearance/rough skin in feeling and/or appearance Skin,Sensitive & Eczema Prone Skin",Butter,,,"Moisturising,Emollient,Occlusive,Hydrating,Soothing,Calming,Smoothing","dry, dry/rough skin in feeling and/or appearance, rough on some portions of the skin,Fine dehydration lines,Flaking,Scaling,Peeling,rough on some portions of the skin",,,,,,,,,,,
MCT Oil,Caprylic/Capric Triglycerides,,Yes,,AWO,"65381-09-1, 73398-61-5",,,Anhydrous,,Anhydrous base,,,,,,Not known,Light,Fast,,,,,,,
Mica,,,Yes,,,,,,,Mature & Aging Skin,,,,Light reflecting particles,fine lines and wrinkles,,NOT DONE YET,,,,,,,,,
Myrrh Essential Oil,Commiphora myrrha,Somalia,Yes,,,8016-37-3,,,"Anhydrous,Emulsion","dry, dry/rough skin in feeling and/or appearance, dry, dry/rough skin in feeling and/or appearance/rough skin in feeling and/or appearance Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin,Oily & Acne Prone Skin",Essential Oil,Base,Oil Soluble,,"loss of firmness and tone,Enlarged pores,pre-disposed to acne, peeling and dehydrated (due to use of products to control oil)","Pregnant,breastfeeding or nursing,hypotension","Potential side effects of Myrrh Essential Oil and Myrrh Resinoid include skin inflammation, dermatitis, lowered blood pressure, and heart irregularities. In the event of an allergic reaction, discontinue use of the products and see a doctor, pharmacist, or allergist immediately for a health assessment and appropriate remedial action. To prevent side effects, consult with a medical professional prior to use. Those with sensitive skin, those taking prescription drugs (especially anti-coagulants and diabetes medication), heart patients, and those with health conditions such as cancer, liver damage, skin disorders, or conditions related to blood sugar levels are especially recommended to be advised before using either of these products. The use of Myrrh Oil/Resinoid should be stopped a minimum of two weeks prior to any surgery. Its use is not recommended for those undergoing surgery.",,,,,,,"May support healing - 
Sunspot visibility -
Wrinkle visibility - 

- Leem, Kang-Hyun. 2015. “Effects of Myrrh Extracts on the Anti-Wrinkle Activity and Anti Tyrosinase Activity in Hs68 Human Fibroblasts.” doi:10.14257/astl.2015.104.37.",,
Neroli,Citrus aurantium,,No,,,,,,,,Essential Oil,,,"Cytophylactic,Antibacterial,Tissue & Cell Regeneration",,Not on children,Avoid on young children (under 4 y.o.),,,,,,,https://shop.newdirections.com.au/epages/newdirections.mobile/en_AU/?ObjectPath=/Shops/newdirections/Products/OE6NERO,"Add: cicatrisant, promotes healthy cell growth, cleanses and cleans, encourages glowing complexion",
Niacinamide,,,No,,,,,,,,Aqueous high performance,,,"Reduce pore size,Balance sebum production","Oily (overproduction of sebum),Enlarged pores",,,,,,,,,,,
Olive,,,No,,,,,,,"dry, dry/rough skin in feeling and/or appearance, dry, dry/rough skin in feeling and/or appearance/rough skin in feeling and/or appearance Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin","Carrier Oil,anhydrous base",,,"Moisturising,Emollient,Hydrating,Soothing,Antioxidant,Calming","dry, dry/rough skin in feeling and/or appearance, rough on some portions of the skin,Fine dehydration lines,inflamed and/or irritated,dry, dry/rough skin in feeling and/or appearance, dry, dry/rough skin in feeling and/or appearance/rough skin in feeling and/or appearance and/or flaky on some portions of skin",,NOT DONE YET,Medium,Medium,2,,,,,,
